Category Name,Image name (in images folder),Category Description,Image URL,Category URL
 Silver Link Styles,img_9766b.jpg,"<p>Sea glass from the mighty Pacific and all over the world is finely drilled and charmingly set on these handmade sterling silver, link style bracelets.<br>
	Several of our designs feature nautical charms.</p>
<p>Shop at right for the design that best fits you or your gift recipient.</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2017/img_9766b.jpg,https://westcoastseaglass.com/jewelry/sea-glass-bracelets/silver-link-styles
 Bracelets With Beads,510103567.jpg,"<p>Each bracelet contains genuine sea glass and beads.</p>
<p>Click on the picture at right for more info.</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2013/510103567.jpg,https://westcoastseaglass.com/jewelry/sea-glass-bracelets/bracelets-beads
Sea Glass Gift Sets,20201119_172918.jpg,"<p>The finest in genuine, historic sea glass earrings and necklace sets that have been matched together. These ocean tumbled pieces have been beachcombed after decades of tumbling naturally at sea.</p>
<p>These romantic pieces in each jewelry creation have each been on lifelong journeys along Pacific Coast shores, but have been paired together to make wonderful gifts for the sea glass lover in your life!</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2020/20201119_172918.jpg,https://westcoastseaglass.com/jewelry/sea-glass-gift-sets
Anklets,510102139.jpg,,https://westcoastseaglass.com/sites/default/files/styles/uc_product_list/public/media/pictures/2013/510102139.jpg,https://westcoastseaglass.com/jewelry/anklets
 Set in Fine Silver (Anklets),510102139.jpg,"<p>Each piece was handmade in the West Coast Sea Glass silver studio. </p>
<p>The anklets are made with sterling silver and the finest sea glass.</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2013/510102139.jpg,https://westcoastseaglass.com/jewelry/anklets/set-fine-silver-anklets
 Drilled Anklets,6596.jpg,"<p>These sea glass anklets are each handmade with care. We use only ocean tumbled sea glass pieces and carefully drill them to set in these beautiful anklets. Find your piece or message us to create something in your special color and design.</p>
<p>Click on the pictures to learn more about each piece.</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2013/6596.jpg,https://westcoastseaglass.com/jewelry/anklets/drilled-anklets
 Other Styles,copy_2_of_1284.jpg,,https://westcoastseaglass.com/sites/default/files/media/pictures/2013/copy_2_of_1284.jpg,https://westcoastseaglass.com/jewelry/anklets/other-styles
Sea Glass Gifts For Him,20200318_154839.jpg,"<p>Sea glass is a great gift for the beach loving guy in your life.</p>
<p>West Coast Sea Glass offers tie tacks, cufflinks, necklaces and rings. Shop here for the perfect, beachy gift.</p>
",https://westcoastseaglass.com/sites/default/files/styles/uc_product_list/public/media/pictures/2020/20200318_154839.jpg,https://westcoastseaglass.com/jewelry/sea-glass-gifts-him
 Cuff Links,20200318_154839.jpg,"<p>The West Coast Sea Glass cufflinks are made with natural, ocean tumbled sea glass pieces. Each has been beachcombed by hand over decades of hunting. </p>
<p>They've been paired together in these fabulous, sturdy, sterling silver pieces.</p>
<p>This man-jewelry is a must for the beach wedding, the surfer dude or someone who loves the sea!</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2020/20200318_154839.jpg,https://westcoastseaglass.com/jewelry/sea-glass-gifts-him/cuff-links
 Sea Glass Necklaces (for him),img_2217b.jpg,"<p>A touch of sea glass to remind your man of the beach all day long. Perfect for the surfer dude in your life.</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2018/img_2217b.jpg,https://westcoastseaglass.com/jewelry/sea-glass-gifts-him/sea-glass-necklaces-him
 Tie Tacks & Tie Bars,dsc09468b.jpg,"<p>These beautiful, sea glass tie bars are created in our silver studio with fine silver bezels and affixed to sterling silver tie bars. Classy and beachy.</p>
<p>	West Coast Sea Glass also creates affordable tie tacks from brass and sea glass components.</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2017/dsc09468b.jpg,https://westcoastseaglass.com/jewelry/sea-glass-gifts-him/tie-tacks-tie-bars
Jewelry Grade Bulk Sea Glass,share510110343.jpg,"<p>For decades, <a href=""/our-story"">the collectors</a> at West Coast Sea Glass have been combing shores around the World, studying, and writing about sea glass. As a result, we have categorized the nicest pieces that we can let go of. This ""Grade A"" sea glass is our highest quality because of the color rarity, surface condition, and size etc.</p>
<p>Today we make the pieces available to many discerning artists and jewelers around the globe. Our sea glass is 100% guaranteed genuine beach found, piece by piece and is all naturally tumbled by the seas.</p>
<p>Shop at right for the batch(es) that fit your creativity needs. Don't see what you're looking for? Just phone us with size, color and quantity needed. We'll try to put a batch together for you. <span style=""font-size:14px""><span style=""color:#000000""><strong>360.461.9560</strong></span></span></p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2020/share510110343.jpg,https://westcoastseaglass.com/bulk_glass/jewelry-grade-bulk-sea-glass
Craft Quality Bulk SeaGlass,img_4455b_1.jpg,"<p>These lots feature sea glass that is perfect for crafts, art, mosaics and some jewelry. </p>
<p>These pieces have been beachcombed from along some of the world's most rugged shores.</p>
<p>Therefore each piece is likely to have at least one rough edge, pitting or inclusions.</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2019/img_4455b_1.jpg,https://westcoastseaglass.com/bulk_glass/craft-quality-bulk-seaglass
Collector's Rarities,510110389.jpg,"<p>Our ""For Collectors"" pieces are just that, sea glass specimens that are one of a kind and very unique. These pieces come from all over the globe and feature some of the finest sea glass relics on the planet.</p>
<p>Discover vibrant colors and one of a kind gems that include many multi-colored pieces, bottle stoppers, marbles, pottery, tons of information and other rare finds.</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2019/510110389.jpg,https://westcoastseaglass.com/bulk_glass/collectors-rarities
SeaGlass Pairs & Trios,img_4106b.jpg,"<p>The genuine, beach combed sea glass pieces on this page have been matched together in beautiful sets that are perfect for your creativity, crafts and jewelry.</p>
<p>Browse here for historic pairs and trios that have been tumbling for decades; perfect for your jewelry creating, art and other projects.<br>
Don't see what you'd like? We can also put a custom lot together by color, size and general shape. Just give us a jingle: 360.461.9560</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2018/img_4106b.jpg,https://westcoastseaglass.com/bulk_glass/seaglass-pairs-trios
Individual Sea Glass Pieces,510107598b.jpg,"<p>West Coast Sea Glass has some of the world's most rare seaglass singles available for the most creative artists and jewelers. Each piece here is sold as a single and you will receive the exact item in the photo.</p>
<p>Shop one piece at a time here. Click on the item to read more with dimensions, where the piece was found and its history.</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2019/510107598b.jpg,https://westcoastseaglass.com/bulk_glass/individual-sea-glass-pieces
Heart Shaped SeaGlass,510111568b.jpg,"<p>To find a once broken and sharp shard that has now been frosted smooth by the elements into a rare heart shape is not only extremely rare but it can be highly romantic.</p>
<p>Though we make keepsake jewelry with most of our sea glass hearts, we occasionally let a few go to our wonderful customers.  Shop at right for the piece you love.</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2019/510111568b.jpg,https://westcoastseaglass.com/bulk_glass/heart-shaped-seaglass
Drilled Sea Glass,img_9530c.jpg,"<p>Each sea glass batch at right has been carefully hand drilled then combined in a perfect lot for your creativity.</p>
<p>	We list what we can when it is available, so please phone 360.461.9560 or email <a href=""mailto:WestCoastSeaGlass@hotmail.com"">WestCoastSeaGlass@hotmail.com</a> if there's a specific color, size and shape you are in search of.<br>
	We have every color in every size. Thanks!</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2017/img_9530c.jpg,https://westcoastseaglass.com/bulk_glass/drilled-sea-glass
Accessories,img_5401_0.jpg,"<p>Click on the pictures at right to learn more about the different beach and sea glass items to wear!</p>
<p>Call Us: 360.461.9560</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2019/img_5401_0.jpg,https://westcoastseaglass.com/gifts/accessories
Beachy Decor,20200809_154955.jpg,"<p>Bring the ocean home with simple touches in beachy decor with a romantic basketour glass floats or a custom made interior design wall hanging!</p>
<p>We are currently featuring a once in a lifetime, historic and rare collection of Pacific Ocean, glass fishing floats here. These round orbs of beauty have each traveled a lifetime across the mighty Pacific.</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2020/20200809_154955.jpg,https://westcoastseaglass.com/gifts/beachy-decor
Sea Glass Books,mbbook.jpg,"<p>Peruse our extensive library of sea glass materials by clicking on a picture at right.</p>
<p><a href=""/our-story/mary-beth-beuke"">Mary Beth</a> also provides educational lectures at venues throughout the United States. Please contact her for more info: 360.461.9560.</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2014/mbbook.jpg,https://westcoastseaglass.com/gifts/sea-glass-books
"Sea Glass Photos, Posters, Cards",1187893701731-1962162643_002.gif,"<p>Click to shop for various sea glass photography prints, and other beachy gifts.</p>
<p>And announcing....new and free to download! The fun, creative, whimsical</p>
<p><strong><a href=""/gifts/sea-glass-posters-cards-photos/sea-glass-coloring-page-0"">SEA GLASS COLORING PAGE HERE</a></strong></p>
<p>Relax and doodle with your favorite treasures from the sea. Print as many as you'd like and share with your friends! See if you can find the little heart, a couple peewee sized marbles, and the bottle stopper stems.</p>
",https://westcoastseaglass.com/sites/default/files/styles/uc_product_list/public/media/pictures/2012/1187893701731-1962162643_002.gif,https://westcoastseaglass.com/gifts/sea-glass-books/sea-glass-photos-posters-cards
 Cards,1187893701731-1962162643_002.gif,"<p>We offer individual and boxed sets of cards for the beachcombing lover, giving you the perfect option for any occassion.</p>
<p>Click on the pictures at right to learn more about each option. </p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2012/1187893701731-1962162643_002.gif,https://westcoastseaglass.com/gifts/sea-glass-books/sea-glass-photos-posters-cards/cards
 Seaglass Photography,stoppers1.jpg,"<p>This page features photography from our own West Coast Sea Glass collection of rare pieces. Award winning photographer, Mary Beth's beach pics, fishing float photos and sea glass related images are known around the world.</p>
<p>We've traveled beaches across the planet and have used our cameras as a window to share our sea glass as a vibrant and colorful photo subject.</p>
<p>Click on the pictures here for more info and purchase options.</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2017/stoppers1.jpg,https://westcoastseaglass.com/gifts/sea-glass-books/sea-glass-photos-posters-cards/seaglass-photography
 Sea Glass Posters,festival_poster.jpg,"<p>Posters featuring sea glass make a fitting addition to the beach house, studio or office! </p>
<p>Click on your preferred image to view info, sizing and purchase options.</p>
",https://westcoastseaglass.com/sites/default/files/media/pictures/2013/festival_poster.jpg,https://westcoastseaglass.com/gifts/sea-glass-books/sea-glass-photos-posters-cards/sea-glass-posters
Gift Certificates,,,false,https://westcoastseaglass.com/gifts/gift-certificates
